user_id,X_train_rows,X_test_rows,train_accuracy,test_accuracy
Iu3Jo9ROp2IWC9FwtWOaUQ,740,186,0.609459459459,0.564516129032
jylbQhgsr1Z7tLoJY67Xog,94,24,0.531914893617,0.291666666667
aoDM2oE3P4dNoFDKRljVkg,84,22,0.72619047619,0.409090909091
zHfA7hsEDI2TbPJ-nDD-QQ,114,29,0.640350877193,0.379310344828
tBvrnSCLSpUdCDm5w5GPkg,214,54,0.616822429907,0.574074074074
OXzYyZSHo9Dl6Qd0s_o2Ig,183,46,0.579234972678,0.45652173913
THYIqfnLV54VZ_v2hCfq2Q,99,25,0.555555555556,0.32
R6lRupz_Jo51n8WJGJYdOQ,105,27,0.657142857143,0.555555555556
zuoeE7GdXXlCgr995ImWfQ,88,23,0.511363636364,0.347826086957
Vi6yC7XiZDADYG73Z0MJAQ,306,77,0.578431372549,0.337662337662
GPIV41wpKGS5XNvQeBtYjQ,110,28,0.663636363636,0.321428571429
qASPib1Z8ft8e96dtbh66w,152,39,0.532894736842,0.410256410256
D5mlAUZMCQ8yc0PxOgGpsQ,130,33,0.576923076923,0.515151515152
hjJPKQ1Ah91h3fVbc8GsOg,114,29,0.649122807018,0.344827586207
4G68oLRY3aHE5XUt_MUUcA,409,103,0.567237163814,0.592233009709
M-cg8raooXZKV8NsNmQGjw,100,25,0.62,0.36
A3mpjzazkSDkua4cPSayYA,159,40,0.603773584906,0.6
twtWSkxomLIpDplupkVoVw,108,27,0.611111111111,0.518518518519
kNO6w6EIKo8u6GSykOHBLA,127,32,0.59842519685,0.5
EAsQ5R656xsM-NJ1pKGNUg,84,22,0.571428571429,0.409090909091
6kmu0mYbdpMIOZ6Y0eVsxg,172,44,0.581395348837,0.386363636364
0lyVoNazXa20WzUyZPLaQQ,96,24,0.614583333333,0.333333333333
knZduWPnQA0kQ9Rrq4lUhg,98,25,0.581632653061,0.52
R_Fzh9YjpT0pg7dxhmFQnQ,84,22,0.571428571429,0.363636363636
3GteArKIVRlJZjjRqqwgaQ,148,38,0.641891891892,0.5
A_O8wZOsMTPwyeYA4-Rsow,138,35,0.478260869565,0.285714285714
PVM-GwKOGwvjEJOz5OmiKg,174,44,0.67816091954,0.568181818182
iBO2m9xXivsIbvFnZHsNvg,109,28,0.56880733945,0.428571428571
C6IOtaaYdLIT5fWd7ZYIuA,336,84,0.577380952381,0.464285714286
zTWH9b_ItSdLOK9ypeFOIw,288,73,0.638888888889,0.575342465753
-K3ZjROK0ml2P-Rk7ttHzA,167,42,0.568862275449,0.404761904762
0dgQa81w5it1PMpGpC_L0A,81,21,0.543209876543,0.571428571429
2bAbL28lhrnyOlYiZ8yMdg,104,27,0.596153846154,0.518518518519
f1-pIw_p0ifzu03TXjPRiw,120,30,0.641666666667,0.633333333333
qKqvVFP6PmxlS7-u0xjs3g,112,29,0.508928571429,0.551724137931
Yk37VAp452K7FwHWd1rrQw,142,36,0.584507042254,0.611111111111
